# Node ID	X Coordinate	Y Coordinate	Z Coordinate
      153     5.834117132E-02    -4.685759429E-02    -4.976202101E-02
      154    -5.834804046E-02    -4.684196042E-02    -4.982607763E-02
      155     5.837240687E-02     4.669118468E-02    -4.985518438E-02
      156    -5.838239969E-02     4.666611943E-02    -4.977046483E-02
      157    -1.013299621E-01    -2.273739574E-02    -6.284709306E-02
      158     1.013382901E-01     2.272525653E-02    -6.286195362E-02
      159    -9.965586881E-02     2.409429248E-02    -6.222200831E-02
      160     9.966237999E-02    -2.408109805E-02    -6.225041946E-02
      161    -8.115437692E-02    -3.553298147E-02    -5.639145276E-02
      162     8.113158982E-02    -3.574845171E-02    -5.628329550E-02
      163     8.112898496E-02     3.574281687E-02    -5.633019333E-02
      164    -8.112808784E-02     3.573988449E-02    -5.623259750E-02
      165    -4.412603455E-02    -5.649532677E-02    -4.517066563E-02
      166     4.297751047E-02    -5.610460164E-02    -4.512244945E-02
      167     4.389224756E-02     5.642835102E-02    -4.514927800E-02
      168    -4.297539084E-02     5.606568470E-02    -4.511045377E-02
      169    -3.831254295E-03    -5.563150303E-02    -4.304757202E-02
      170     3.834046216E-03     5.561045891E-02    -4.302275011E-02
      171     3.298363221E-02    -6.619426870E-02    -4.077716296E-02
      172     3.537849420E-02     5.852735170E-02    -4.363578071E-02
      173    -3.591368627E-02    -5.884771628E-02    -4.359608545E-02
      174    -3.299227398E-02     6.612295105E-02    -4.079086546E-02
      175    -4.405532427E-02    -4.548588611E-02    -4.840447707E-02
      176     4.357997094E-02    -4.606096249E-02    -4.814304070E-02
      177    -4.332576600E-02     4.513753763E-02    -4.831421449E-02
      178     4.379379204E-02     4.641355933E-02    -4.810289835E-02
      179    -1.003763746E-01     8.358341464E-03    -6.395005010E-02
      180    -9.575502844E-02    -1.520136264E-02    -6.246298037E-02
      181     1.008200662E-01    -8.564408997E-03    -6.406725414E-02
      182     9.658349809E-02     1.485820097E-02    -6.270107298E-02
      183    -1.085951271E-01     1.277588122E-02    -6.559334686E-02
      184     1.086478918E-01    -1.280020771E-02    -6.562161759E-02
      185    -3.657964506E-02    -4.041420685E-02    -4.894771782E-02
      186     3.732203581E-02    -4.001382987E-02    -4.906604028E-02
      187    -3.795459848E-02     3.925713897E-02    -4.924481605E-02
      188     3.702567623E-02     4.050145622E-02    -4.894165094E-02
      189     5.110151986E-02    -1.606349570E-02    -5.466034085E-02
      190    -4.238724637E-02    -1.327495904E-02    -5.393496028E-02
      191     3.791098175E-03    -6.977951942E-02    -3.814975756E-02
      192    -3.779472560E-03     6.976415462E-02    -3.813871444E-02
      193    -1.089219909E-01    -6.610187054E-03    -6.604627285E-02
      194     1.091842088E-01     6.739371189E-03    -6.612869229E-02
      195     1.425392704E-02    -4.826655457E-02    -4.546138851E-02
      196     1.528991883E-02     4.779184659E-02    -4.561910458E-02
      197    -1.425203164E-02     4.824326484E-02    -4.542384575E-02
      198    -1.528844668E-02    -4.781432533E-02    -4.564522753E-02
      199    -9.518616190E-02    -3.175751722E-02    -6.000463439E-02
      200     9.510051385E-02     3.168937674E-02    -5.999542426E-02
      201     9.502748695E-02    -3.037673306E-02    -6.018446061E-02
      202    -9.481091740E-02     3.175732332E-02    -5.984764019E-02
      203    -8.726895420E-02     1.512409106E-02    -6.064426220E-02
      204     8.788457866E-02    -1.432564072E-02    -6.087735910E-02
      205     8.747297715E-02     1.493000964E-02    -6.078124436E-02
      206     6.546821877E-02     1.024523124E-02    -5.719476204E-02
      207    -6.360904709E-02     1.578581512E-03    -5.716644329E-02
      208    -2.538569130E-02    -4.278655076E-02    -4.749718483E-02
      209    -2.494532105E-02     4.429256821E-02    -4.699912877E-02
      210     2.538429855E-02     4.277127846E-02    -4.747025179E-02
      211     2.498012173E-02    -4.431627011E-02    -4.704278189E-02
      212     6.984771477E-02    -2.730516351E-03    -5.817731555E-02
      213    -2.475822579E-02     5.256267411E-02    -4.467358893E-02
      214     2.476211354E-02    -5.259202740E-02    -4.470232499E-02
      215     1.783198590E-02     6.487589983E-02    -4.030731745E-02
      216     1.593802003E-02    -6.382708350E-02    -4.060077742E-02
      217    -1.783015426E-02    -6.488667762E-02    -4.031968638E-02
      218    -1.593475079E-02     6.379851464E-02    -4.058731204E-02
      219    -9.513600793E-02     6.136505564E-04    -6.300666753E-02
      220     5.233904069E-02    -6.081836141E-02    -4.467404861E-02
      221     5.280446017E-02     6.082128083E-02    -4.475869974E-02
      222    -5.282023355E-02    -6.082868486E-02    -4.476681425E-02
      223    -5.232619931E-02     6.079265188E-02    -4.466422325E-02
      224     4.910369869E-02    -1.111070728E-03    -5.523270423E-02
      225    -4.813545741E-02    -2.156056992E-05    -5.509477369E-02
      226     6.332809578E-02     2.673454405E-02    -5.498836747E-02
      227    -6.334023427E-02     2.671735734E-02    -5.488316937E-02
      228     7.461411335E-02     7.841487919E-03    -5.884432972E-02
      229    -7.579005458E-02     9.146421926E-03    -5.891462109E-02
      230     5.374331251E-02     4.602647205E-03    -5.576223865E-02
      231     5.541491231E-03    -5.043849235E-02    -4.463372930E-02
      232    -5.537267522E-03     5.041487561E-02    -4.460087820E-02
      233     5.949530090E-02    -5.628643492E-02    -4.713142496E-02
      234    -5.957514793E-02    -5.628301214E-02    -4.718469688E-02
      235     5.956837941E-02     5.625491836E-02    -4.718681378E-02
      236    -5.949030290E-02     5.623616785E-02    -4.712152545E-02
      237    -6.881952304E-02    -7.076751213E-03    -5.785915854E-02
